ResourceID,Service,Region,Department,Project,Environment,Owner,CostCenter,MonthlyCostUSD,TagCompletenessScore,TagCompletenessPercentage
ec2-004,EC2,us-east-2,,,,,,200,0,0.0
ec2-004,EC2,us-east-2,,,,,,200,0,0.0
rds-002,RDS,us-west-2,Sales,CRMTool,Dev,,CC102,150,4,80.0
rds-002,RDS,us-west-2,Sales,CRMTool,Dev,,CC102,150,4,80.0
rds-004,RDS,us-west-1,Finance,LedgerDB,Dev,,CC105,110,4,80.0
rds-004,RDS,us-west-1,Finance,LedgerDB,Dev,,CC105,110,4,80.0
s3-004,S3,us-east-1,Analytics,DataLake,Dev,,CC103,90,4,80.0
ecs-002,ECS,us-west-1,DevOps,CI-CD,Dev,,CC104,90,4,80.0
ecs-002,ECS,us-west-1,DevOps,CI-CD,Dev,,CC104,90,4,80.0
s3-004,S3,us-east-1,Analytics,DataLake,Dev,,CC103,90,4,80.0
cf-002,CloudFront,us-east-1,Sales,CRMTool,Dev,,CC102,90,4,80.0
cf-002,CloudFront,us-east-1,Sales,CRMTool,Dev,,CC102,90,4,80.0
ec2-006,EC2,us-east-1,HR,PayrollApp,Dev,,CC106,85,4,80.0
ec2-006,EC2,us-east-1,HR,PayrollApp,Dev,,CC106,85,4,80.0
ddb-002,DynamoDB,us-west-2,Analytics,DataWarehouse,Dev,,CC103,80,4,80.0
i-002,EC2,us-east-1,Marketing,CampaignApp,Dev,,CC101,80,4,80.0
ddb-002,DynamoDB,us-west-2,Analytics,DataWarehouse,Dev,,CC103,80,4,80.0
i-002,EC2,us-east-1,Marketing,CampaignApp,Dev,,CC101,80,4,80.0
ec2-010,EC2,us-east-2,HR,RecruitPortal,Test,,CC106,60,4,80.0
ec2-010,EC2,us-east-2,HR,RecruitPortal,Test,,CC106,60,4,80.0
cw-002,CloudWatch,us-east-1,Finance,BudgetTracker,Dev,,CC105,55,4,80.0
cw-002,CloudWatch,us-east-1,Finance,BudgetTracker,Dev,,CC105,55,4,80.0
lambda-004,Lambda,us-east-1,DevOps,InfraMonitor,Dev,,CC104,45,4,80.0
ebs-002,EBS,us-west-1,,,,,,45,0,0.0
ebs-002,EBS,us-west-1,,,,,,45,0,0.0
lambda-004,Lambda,us-east-1,DevOps,InfraMonitor,Dev,,CC104,45,4,80.0
lambda-002,Lambda,us-east-1,Analytics,Insights,Dev,,CC103,40,4,80.0
lambda-002,Lambda,us-east-1,Analytics,Insights,Dev,,CC103,40,4,80.0
api-002,APIGateway,us-east-2,Marketing,AdsAPI,Dev,,CC101,35,4,80.0
api-002,APIGateway,us-east-2,Marketing,AdsAPI,Dev,,CC101,35,4,80.0
ec2-008,EC2,us-west-1,Finance,LedgerDB,Test,,CC105,35,4,80.0
ec2-008,EC2,us-west-1,Finance,LedgerDB,Test,,CC105,35,4,80.0
ec2-007,EC2,us-east-2,DevOps,InfraMonitor,Test,,CC104,30,4,80.0
ec2-007,EC2,us-east-2,DevOps,InfraMonitor,Test,,CC104,30,4,80.0
s3-002,S3,us-east-1,Marketing,AdsAPI,Dev,,CC101,25,4,80.0
s3-006,S3,us-east-1,HR,EmployeeDocs,Dev,,CC106,25,4,80.0
s3-002,S3,us-east-1,Marketing,AdsAPI,Dev,,CC101,25,4,80.0
s3-006,S3,us-east-1,HR,EmployeeDocs,Dev,,CC106,25,4,80.0
